"syn"	"gene"
"ELMO-3::engulfment and cell motility 3::engulfment and cell motility protein 3::FLJ13824::CED-12::ced-12 homolog 3::CED12"	"ELMO3"
"DKFZp547C176::ELMO domain containing 1::ELMO domain-containing protein 1::ELMO/CED-12 domain containing 1"	"ELMOD1"
"ELMO domain containing 2::ELMO domain-containing protein 2::ELMO/CED-12 domain containing 2::OTTHUMP00000164615::MGC10084::9830169G11Rik"	"ELMOD2"
"C330008I15Rik::ELMO domain-containing protein 3::ELMO/CED-12 domain containing 3::FLJ21977::FLJ35601::LST3::liver-specific organic anion transporter 3TM12::PP4068::MGC111036::organic anion transporter LST-3b::OTTHUMP00000160671::RBED1::RBM29::RNA binding motif and ELMO domain 1::RNA binding motif and ELMO/CED-12 domain 1::RNA binding motif protein 29::RNA-binding motif and ELMO domain-containing protein 1::RNA-binding motif protein 29::RNA-binding protein 29"	"ELMOD3"
"uncharacterized protein C14orf43::hypothetical protein LOC91748::LSR68::FLJ00335::ELM2 and Myb/SANT-like domain containing 1::C14orf117::C14orf43::c14_5541"	"ELMSAN1"
"FLJ38671::FLJ43523::OTTHUMP00000196667::OTTHUMP00000211864::SVAS::WBS::WS::tropoelastin::elastin"	"ELN"
"elongation factor 1 homolog (ELF1, S. cerevisiae)::elongation factor 1 homolog (S. cerevisiae)::ELF1::transcription elongation factor 1 homolog"	"ELOF1"
"3-keto acyl-CoA synthase ELOVL1::CGI-88::elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1::elongation of very long chain fatty acids protein 1::elongation of very long chain fatty acids-like 1::ELOVL FA elongase 1::ELOVL fatty acid elongase 1::Ssc1::OTTHUMP00000008574"	"ELOVL1"
"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2::elongation of very long chain fatty acids protein 2::elongation of very long chain fatty acids-like 2::ELOVL FA elongase 2::ELOVL fatty acid elongase 2::FLJ20334::OTTHUMP00000016029::SSC2::3-keto acyl-CoA synthase ELOVL2"	"ELOVL2"
"MGC21435::OTTHUMP00000020361::elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3::elongation of very long chain fatty acids like 3::elongation of very long chain fatty acids protein 3::ELOVL FA elongase 3::ELOVL fatty acid elongase 3::CIG-30::CIG30::cold-inducible glycoprotein of 30 kDa::3-keto acyl-CoA synthase ELOVL3"	"ELOVL3"
"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4::Elongation of very long chain fatty acids protein 4::elongation of very long chain fatty acids-like 4::ELOVL FA elongase 4::ELOVL fatty acid elongase 4::FLJ17667::FLJ92876::ISQMR::OTTHUMP00000016776::CT118::cancer/testis antigen 118::ADMD::3-keto acyl-CoA synthase ELOVL4::Stargardt disease 3 (autosomal dominant)::STGD2::STGD3"	"ELOVL4"
"RP3-483K16.1::3-keto acyl-CoA synthase ELOVL5::dJ483K16.1::homolog of yeast long chain polyunsaturated fatty acid elongatio::homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2::fatty acid elongase 1::elongation of very long chain fatty acids protein 5::elongation of very long chain fatty acids-like 5::ELOVL FA elongase 5::ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)::ELOVL fatty acid elongase 5::HELO1::OTTHUMP00000017867"	"ELOVL5"
"fatty acid elongase 2::fatty acyl-CoA elongase::FACE::FAE::elongation of very long chain fatty acids protein 6::elongation of very long chain fatty acids-like 6::ELOVL FA elongase 6::ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)::ELOVL fatty acid elongase 6::long-chain fatty-acyl elongase::hELO2::LCE::FLJ23378::3-keto acyl-CoA synthase ELOVL6::OTTHUMP00000163370::MGC5487"	"ELOVL6"
"3-keto acyl-CoA synthase ELOVL7::FLJ23563::elongation of very long chain fatty acids protein 7::elongation of very long chain fatty acids-like 7::ELOVL FA elongase 7::ELOVL family member 7, elongation of long chain fatty acids::ELOVL fatty acid elongase 7"	"ELOVL7"
"STAT3-interacting protein 1::STATIP1::StIP::SHINC-2::signal transducer and activator of transcription 3 interacting protein 1::signal transducer and activator of transcription interacting protein 1::FLJ10879::elongation protein 2 homolog::elongator acetyltransferase complex subunit 2::elongator complex protein 2::elongator protein 2"	"ELP2"
"FLJ10422::elongation protein 3 homolog::elongator acetyltransferase complex subunit 3::elongator complex protein 3::hELP3::KAT9"	"ELP3"
"PAX6 neighbor::PAX6 neighbor gene protein::PAX6NEB::PAXNEB::dJ68P15A.1::C11orf19::FLJ20498::elongation protein 4 homolog::elongator acetyltransferase complex subunit 4::elongator complex protein 4::hELP4"	"ELP4"
"MST071::MSTP071::elongator acetyltransferase complex subunit 5::HSPC002::dermal papilla derived protein 6::dermal papilla-derived protein 6::DERP6::C17orf81::S-phase 2 protein"	"ELP5"
"angiotonin-transactivated protein 1::C3orf75::FLJ20211::elongator acetyltransferase complex subunit 6::elongator complex protein 6 homolog::transmembrane protein 103::TMEM103::UPF0405 protein C3orf75"	"ELP6"
"epididymal protein 12::epididymal secretory protein::epididymal secretory protein 12::epididymal sperm binding protein 1::Epididymal sperm-binding protein 1::HE12::EDDM12::E12"	"ELSPBP1"
"KPG_003::hCG_14667::ETL::OTTHUMP00000011299::EGF, latrophilin and seven transmembrane domain containing 1::EGF, latrophilin and seven transmembrane domain-containing protein 1::EGF-TM7-latrophilin-related protein"	"ELTD1"
"embigin::embigin homolog::MGC71745"	"EMB"
"KIAA0090::ER membrane protein complex subunit 1::hypothetical protein LOC23065::PSEC0263::RP1-43E13.1::OTTHUMP00000002581"	"EMC1"
"UNQ764/PRO1556::UPF0510 protein INM02::MGC33203::C19orf63::INM02::ER membrane protein complex subunit 10::HSM1::HSS1::hematopoietic signal peptide-containing::hematopoietic signal peptide-containing membrane domain-containing 1::hematopoietic signal peptide-containing membrane domain-containing protein 1::hematopoietic signal peptide-containing secreted 1"	"EMC10"
"TPR repeat protein 35::tetratricopeptide repeat domain 35::tetratricopeptide repeat protein 35::TTC35::KIAA0103::ER membrane protein complex subunit 2"	"EMC2"
"30 kDa protein::partial optokinetic response b::POB::transmembrane protein 111::TMEM111::ER membrane protein complex subunit 3"	"EMC3"
"cell proliferation-inducing gene 17 protein::proliferation-inducing gene 17::TMEM85::transmembrane protein 85::MGC24415::PIG17::ER membrane protein complex subunit 4::FLJ90746::HSPC184"	"EMC4"
"transmembrane protein 93::TMEM93::MGC2963::ER membrane protein complex subunit 6"	"EMC6"
"chromosome 15 hypothetical ATG/GTP binding protein::chromosome 15 open reading frame 24::C11orf3::C15orf24::ORF1-FL1::UPF0480 protein C15orf24::ER membrane protein complex subunit 7::HT022"	"EMC7"
"C16orf2::C16orf4::COX4 neighbor::COX4NB::FAM158B::family with sequence similarity 158, member B::ER membrane protein complex subunit 8::NOC4::neighbor of COX4"	"EMC8"
"CGI-112::C14orf122::UPF0172 protein FAM158A::FAM158A::family with sequence similarity 158, member A::ER membrane protein complex subunit 9::hypothetical protein LOC51016"	"EMC9"
"MUC-14::MUC14::mucin-14::gastric cancer antigen Ga34::EMCN2::endomucin::endomucin-2"	"EMCN"
"Eme1"	"EME1"
"homolog of yeast EME1 endonuclease 2::gs125::essential meiotic endonuclease 1 homolog 2::essential meiotic endonuclease 1 homolog 2 (S. pombe)::FLJ00151::probable crossover junction endonuclease EME2::SLX2 structure-specific endonuclease subunit homolog B::SLX2B"	"EME2"
"MGC50657::OTTHUMP00000028901::putative emu1::hEmu1::EMI domain containing 1::EMI domain-containing protein 1::EMI5::emilin and multimerin domain-containing protein 1::emilin and multimerin-domain containing protein 1::EMU1::CTA-984G1.2"	"EMID1"
"EMI::EMILIN::EMILIN-1::gp115::TNF? elastin microfibril interface located protein::DKFZp586M121::elastin microfibril interface located protein::elastin microfibril interface-located protein 1::elastin microfibril interfacer 1::OTTHUMP00000122584"	"EMILIN1"
"elastin microfibril interface-located protein 2::elastin microfibril interfacer 2::FOAP-10::FLJ33200::extracellular glycoprotein EMILIN-2::EMILIN-2"	"EMILIN2"
"EMILIN-5::EMILIN5::RP4-620E11.1::OTTHUMP00000043611::OTTHUMP00000031010::C20orf130::dJ620E11.4::DKFZp434A2410::elastin microfibril interface-located protein 3::elastin microfibril interface-located protein 5::elastin microfibril interfacer 3::elastin microfibril interfacer 5"	"EMILIN3"
"echinoderm microtubule associated protein like 1::echinoderm microtubule-associated protein-like::echinoderm microtubule-associated protein-like 1::FLJ45033::ELP79::EMAP::EMAP-1::EMAPL::HuEMAP::huEMAP-1"	"EML1"
"microtubule-associated protein like echinoderm EMAP::ELP70::EMAP-2::EMAP2::echinoderm microtubule associated protein like 2::echinoderm microtubule-associated protein-like 2::echinoderm MT-associaated protein (EMAP)-like protein 70::echinoderm MT-associated protein (EMAP)-like protein 70"	"EML2"
"echinoderm microtubule associated protein like 3::echinoderm microtubule-associated protein-like 3::MGC111422::FLJ35827::ELP95::EMAP-3"	"EML3"
"echinoderm microtubule associated protein like 4::echinoderm microtubule-associated protein-like 4::DKFZp686P18118::C2orf2::ropp 120::ROPP120::restrictedly overexpressed proliferation-associated protein::FLJ32318::FLJ10942::ELP120::EMAP-4::EMAPL4::OTTHUMP00000201447"	"EML4"
"EMAP-2::EMAP-5::HuEMAP-2::DKFZp781D1122::echinoderm microtubule associated protein like 5::echinoderm microtubule-associated protein-like 5"	"EML5"
"FLJ42562::FLJ16635::EMAP-6::DKFZp686G14111::echinoderm microtubule associated protein like 6::echinoderm microtubule-associated protein-like 6"	"EML6"
"CL-20::TMP::tumor-associated membrane protein::EMP-1::epithelial membrane protein 1"	"EMP1"
"epithelial membrane protein 2::EMP-2::MGC9056::XMP"	"EMP2"
"YMP::EMP-3::epithelial membrane protein 3::hematopoietic neural membrane protein 1::HNMP-1"	"EMP3"
"EMR1 hormone receptor::TM7LN3::egf-like module containing, mucin-like, hormone receptor-like 1::egf-like module containing, mucin-like, hormone receptor-like sequence 1::EGF-like module receptor 1::EGF-like module-containing mucin-like hormone receptor-like 1"	"EMR1"
"egf-like module containing, mucin-like, hormone receptor-like 2::egf-like module containing, mucin-like, hormone receptor-like sequence 2::EGF-like module-containing mucin-like hormone receptor-like 2::DKFZp781B135::CD312"	"EMR2"
"PGR16::FIRE::EMR4::hCG_1811451::GPR127::egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene"	"EMR4P"
"OTTHUMP00000020578::homeobox protein EMX2::empty spiracles homeobox 2::empty spiracles homolog 2::empty spiracles-like protein 2"	"EMX2"
"NCRNA00045::FLJ41539::EMX2 opposite strand/antisense RNA::EMX2-AS1"	"EMX2OS"
"engrailed homeobox 1::engrailed homolog 1::homeobox protein en-1::homeobox protein engrailed-1::hu-En-1::OTTHUMP00000162091"	"EN1"
"hu-En-2::homeobox protein en-2::homeobox protein engrailed-2::engrailed homeobox 2::engrailed homolog 2::engrailed-2::AUTS1::AUTS10::tcag7.568"	"EN2"
"OTTHUMP00000035863::NDPP1::MENA::RP11-496N12.7::protein enabled homolog::ENA::enabled homolog::enabled homolog (Drosophila)"	"ENAH"
"enamelin::AIH2::AI1C::amelogenesis imperfecta 2, hypocalcification (autosomal dominant)::ADAI::OTTHUMP00000160363"	"ENAM"
"CCL28::ectoderm-neural cortex protein 1::ectodermal-neural cortex (with BTB-like domain)::ectodermal-neural cortex 1 (with BTB-like domain)::p53-induced gene 10 protein::PIG10::NRPB::nuclear matrix protein NRP/B::nuclear restricted protein, BTB domain-like (brain)::TP53I10::tumor protein p53 inducible protein 10::FLJ39259::KLHL35::KLHL37::kelch-like 35::kelch-like 37::kelch-like protein 37::ENC-1"	"ENC1"
"KIAA0830::endonuclease domain containing 1::endonuclease domain-containing 1 protein::MGC88092"	"ENDOD1"
"endo G::endonuclease G::endonuclease G, mitochondrial::FLJ27463::OTTHUMP00000022301::mitochondrial endonuclease G"	"ENDOG"
"endonuclease, polyU-specific::MGC133268::P11::placental protein 11::poly(U)-specific endoribonuclease::PP11::PRSS26::protein endoU::uridylate-specific endoribonuclease::22 serine protease::26 serine protease"	"ENDOU"
"MGC74455::hypothetical protein LOC284131::endonuclease V"	"ENDOV"
"OTTHUMP00000022221::ORW::ORW1::FLJ41744::END::endoglin::HHT1::RP11-228B15.2::CD105::CD105 antigen"	"ENG"
"DKFZp434P174::Di-N-acetylchitobiosyl beta-N-acetylglucosaminidase::Cytosolic endo-beta-N-acetylglucosaminidase::FLJ21865::endo-beta-N-acetylglucosaminidase::Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase"	"ENGASE"
"GAAI470::energy homeostasis associated::energy homeostasis-associated protein::UNQ470::UNQ470/PRO830::adropin::C9orf165"	"ENHO"
"OTTHUMP00000019326::MGC26778::C10orf63::DKFZp781F21103::RP11-165A20.2::enkurin::enkurin, TRPC channel interacting protein"	"ENKUR"
"2-phospho-D-glycerate hydro-lyase::alpha-enolase::alpha enolase like 1::ENO1L1::enolase 1::enolase 1, (alpha)::enolase-alpha::OTTHUMP00000001706::MPB1::non-neural enolase::MYC promoter-binding protein 1::NNE::MBP-1::PPH::plasminogen-binding protein::phosphopyruvate hydratase::tau-crystallin"	"ENO1"
"enolase 2::enolase 2 (gamma, neuronal)::gamma-enolase::2-phospho-D-glycerate hydrolyase::neural enolase::neuron specific gamma enolase::neuron-specific enolase::neurone-specific enolase::NSE"	"ENO2"
"MSE::muscle specific enolase::muscle-specific enolase::OTTHUMP00000125242::enolase 3::enolase 3 (beta, muscle)::GSD13::skeletal muscle enolase::2-phospho-D-glycerate hydrolyase::beta-enolase"	"ENO3"
"C10orf134::AC023283.3::DKFZP781N1041::chromosome 10 open reading frame 134::enolase family member 4::enolase-like protein ENO4"	"ENO4"
"MASA::MASA homolog::FLJ12594::enolase-phosphatase 1::enolase-phosphatase E1::MST145::MSTP145::acireductone synthase::DKFZp586M0524::E1::2,3-diketo-5-methylthio-1-phosphopentane phosphatase"	"ENOPH1"
"antisense RNA to thymidylate synthase::TYMSAS::RTS::rTS alpha::rTS beta::HSRTSBETA::enolase superfamily 1::enolase superfamily member 1::mitochondrial enolase superfamily member 1"	"ENOSF1"
"proliferation-inducing protein 38::RP11-301I17.1::FLJ10094::PIG38::OTTHUMP00000018332::cCNOX::candidate growth-related and time keeping constitutive hydroquinone (NADH) oxidase::candidate growth-related and time keeping constitutive hydroquinone [NADH] oxidase::bA64J21.1::ecto-NOX disulfide-thiol exchanger 1::cell proliferation-inducing gene 38 protein::CNOX::constitutive Ecto-NOX"	"ENOX1"
"OTTHUMP00000024021::OTTHUMP00000024022::RP5-875H3.1::tumor-associated hydroquinone oxidase::tNOX::cytosolic ovarian carcinoma antigen 1::APK1::APK1 antigen::ecto-NOX disulfide-thiol exchanger 2::COVA1"	"ENOX2"
"differentiation antigen gp160::AP-A::APA::aminopeptidase A::CD249::glutamyl aminopeptidase::glutamyl aminopeptidase (aminopeptidase A)::gp160"	"ENPEP"
"Ly-41 antigen::M6S1::OTTHUMP00000043194::PC-1::PCA1::PDNP1::phosphodiesterase I/nucleotide pyrophosphatase 1::plasma-cell membrane glycoprotein 1::plasma-cell membrane glycoprotein PC-1::NPP1::NPPS::membrane component chromosome 6 surface marker 1::membrane component, chromosome 6, surface marker 1::ARHR2::E-NPP 1::ectonucleotide pyrophosphatase/phosphodiesterase 1::ectonucleotide pyrophosphatase/phosphodiesterase family member 1::alkaline phosphodiesterase 1"	"ENPP1"
"ectonucleotide pyrophosphatase/phosphodiesterase 2::ectonucleotide pyrophosphatase/phosphodiesterase family member 2::E-NPP 2::ATX::ATX-X::autotaxin::autotaxin-t::plasma lysophospholipase D::phosphodiesterase I/nucleotide pyrophosphatase 2::PD-IALPHA::PDNP2::NPP2::LysoPLD::FLJ26803::extracellular lysophospholipase D"	"ENPP2"
"gp130RB13-6::NPP3::OTTHUMP00000040272::OTTHUMP00000017901::PD-IBETA::PDNP3::phosphodiesterase I beta::phosphodiesterase I/nucleotide pyrophosphatase 3::phosphodiesterase-I beta::B10::E-NPP 3::ectonucleotide pyrophosphatase/phosphodiesterase 3::ectonucleotide pyrophosphatase/phosphodiesterase family member 3::dJ1005H11.3 (phosphodiesterase I/nucleotide pyrophosphatase 3)::dJ914N13.3 (phosphodiesterase I/nucleotide pyrophosphatase 3)::CD203c::RP5-988G15.3"	"ENPP3"
"OTTHUMP00000016541::NPP-4::NPP4::E-NPP 4::ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)::ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)::ectonucleotide pyrophosphatase/phosphodiesterase family member 4::KIAA0879"	"ENPP4"
"UNQ550/PRO1107::KIAA0879::NPP-5::OTTHUMP00000016542::OTTHUMP00000016543::E-NPP 5::ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)::ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)::ectonucleotide pyrophosphatase/phosphodiesterase family member 5"	"ENPP5"
"MGC33971::NPP-6::NPP6::B830047L21Rik::E-NPP 6::ectonucleotide pyrophosphatase/phosphodiesterase 6::ectonucleotide pyrophosphatase/phosphodiesterase family member 6::UNQ1889/PRO4334"	"ENPP6"
"UNQ3077/PRO9912::ectonucleotide pyrophosphatase/phosphodiesterase 7::ectonucleotide pyrophosphatase/phosphodiesterase family member 7::E-NPP 7::ALK-SMase::alkaline sphingomyelin phosphodiesterase::alkaline sphingomyelinase::MGC50179::NPP-7::intestinal alkaline sphingomyelinase"	"ENPP7"
"endosulfine alpha::ARPP-19e::alpha-endosulfine::OTTHUMP00000034001::OTTHUMP00000034003::OTTHUMP00000034004::OTTHUMP00000034005::OTTHUMP00000034006::OTTHUMP00000032931::OTTHUMP00000032932::MGC78563::MGC8394::MGC4319::RP11-54A4.10-004"	"ENSA"
"RP1-172B20.3::ENTH domain containing 1::ENTH domain-containing protein 1::epsin-2B::FLJ25421::dJ370M22.3::dJ370M22.3 (EPSIN 2B)::CACNA1I::OTTHUMP00000028786"	"ENTHD1"
"tetra-epsin::FLJ31528::ENTH domain containing 2::epsin for AP-4::hypothetical protein LOC146705::C17orf56::AP-4 complex accessory subunit tepsin"	"ENTHD2"
